0	1	2	3	4	1_binned	2_binned	3_binned	4_binned
0	0.928	0.878	-0.71	2.0	(0.881, 1.045]	(0.729, 1.236]	(-0.897, -0.498]	(1.578, 5.7]
0	1.04	0.987	1.7	1.159	(0.881, 1.045]	(0.729, 1.236]	(1.272, 1.743]	(1.084, 1.27]
0	2.217	-0.194	0.202	0.677	(1.663, 5.331]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.56, 0.727]
0	3.53	-1.64	-0.277	1.379	(1.663, 5.331]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.27, 1.578]
1	0.656	-0.074	-0.38	0.778	(0.617, 0.745]	(-0.39, -0.0025]	(-0.498, -0.0495]	(0.727, 0.884]
1	1.246	0.206	-1.344	0.424	(1.045, 1.267]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.376, 0.56]
0	0.607	0.109	1.623	0.18	(0.463, 0.617]	(-0.0025, 0.383]	(1.272, 1.743]	(0.018, 0.376]
0	0.686	-1.481	1.477	1.2	(0.617, 0.745]	(-2.36, -1.216]	(1.272, 1.743]	(1.084, 1.27]
1	0.899	-0.758	0.336	0.892	(0.881, 1.045]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.884, 1.084]
1	1.036	1.431	-0.434	0.735	(0.881, 1.045]	(1.236, 2.43]	(-0.498, -0.0495]	(0.727, 0.884]
0	1.92	-0.262	-0.501	0.125	(1.663, 5.331]	(-0.39, -0.0025]	(-0.897, -0.498]	(0.018, 0.376]
1	0.935	-0.677	1.227	1.685	(0.881, 1.045]	(-0.727, -0.39]	(0.796, 1.272]	(1.578, 5.7]
1	0.289	-1.962	-0.349	0.403	(0.274, 0.463]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.376, 0.56]
1	0.929	-0.41	-1.322	0.358	(0.881, 1.045]	(-0.727, -0.39]	(-1.358, -0.897]	(0.018, 0.376]
0	0.604	-0.716	-0.886	0.424	(0.463, 0.617]	(-0.727, -0.39]	(-0.897, -0.498]	(0.376, 0.56]
0	1.52	0.177	-0.041	0.385	(1.267, 1.663]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.376, 0.56]
1	1.015	0.441	0.518	0.486	(0.881, 1.045]	(0.383, 0.729]	(0.416, 0.796]	(0.376, 0.56]
1	0.93	-0.507	-0.821	1.348	(0.881, 1.045]	(-0.727, -0.39]	(-0.897, -0.498]	(1.27, 1.578]
0	1.52	-0.439	1.458	0.798	(1.267, 1.663]	(-0.727, -0.39]	(1.272, 1.743]	(0.727, 0.884]
1	0.802	-0.48	0.089	0.713	(0.745, 0.881]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.56, 0.727]
0	0.547	-1.312	-0.111	1.37	(0.463, 0.617]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.27, 1.578]
0	0.485	0.296	1.047	0.483	(0.463, 0.617]	(-0.0025, 0.383]	(0.796, 1.272]	(0.376, 0.56]
0	0.806	-0.819	-0.676	0.84	(0.745, 0.881]	(-1.216, -0.727]	(-0.897, -0.498]	(0.727, 0.884]
0	0.819	0.204	0.528	0.681	(0.745, 0.881]	(-0.0025, 0.383]	(0.416, 0.796]	(0.56, 0.727]
1	0.808	0.326	-1.705	0.46	(0.745, 0.881]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.376, 0.56]
1	0.794	-1.488	-0.678	0.386	(0.745, 0.881]	(-2.36, -1.216]	(-0.897, -0.498]	(0.376, 0.56]
1	0.299	1.251	-1.641	0.713	(0.274, 0.463]	(1.236, 2.43]	(-1.742, -1.358]	(0.56, 0.727]
1	0.77	0.238	-1.724	0.857	(0.745, 0.881]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.727, 0.884]
1	0.729	-0.41	-0.092	0.613	(0.617, 0.745]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.56, 0.727]
1	1.38	1.749	1.237	0.261	(1.267, 1.663]	(1.236, 2.43]	(0.796, 1.272]	(0.018, 0.376]
0	1.212	-0.17	-0.364	0.344	(1.045, 1.267]	(-0.39, -0.0025]	(-0.498, -0.0495]	(0.018, 0.376]
0	2.06	0.441	0.342	0.723	(1.663, 5.331]	(0.383, 0.729]	(-0.0495, 0.416]	(0.56, 0.727]
1	0.897	2.121	0.592	1.129	(0.881, 1.045]	(1.236, 2.43]	(0.416, 0.796]	(1.084, 1.27]
1	0.911	1.825	1.033	0.276	(0.881, 1.045]	(1.236, 2.43]	(0.796, 1.272]	(0.018, 0.376]
0	0.568	0.545	-1.368	3.152	(0.463, 0.617]	(0.383, 0.729]	(-1.742, -1.358]	(1.578, 5.7]
0	0.495	-0.522	0.831	0.778	(0.463, 0.617]	(-0.727, -0.39]	(0.796, 1.272]	(0.727, 0.884]
1	2.287	-0.206	-0.855	1.496	(1.663, 5.331]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.27, 1.578]
1	0.487	1.476	-0.178	0.848	(0.463, 0.617]	(1.236, 2.43]	(-0.498, -0.0495]	(0.727, 0.884]
1	1.847	-0.658	-0.506	0.289	(1.663, 5.331]	(-0.727, -0.39]	(-0.897, -0.498]	(0.018, 0.376]
1	0.916	-1.572	1.325	0.251	(0.881, 1.045]	(-2.36, -1.216]	(1.272, 1.743]	(0.018, 0.376]
1	0.632	1.011	-1.116	1.253	(0.617, 0.745]	(0.729, 1.236]	(-1.358, -0.897]	(1.084, 1.27]
1	0.496	-0.645	-0.882	0.955	(0.463, 0.617]	(-0.727, -0.39]	(-0.897, -0.498]	(0.884, 1.084]
0	1.619	0.557	-1.233	1.899	(1.267, 1.663]	(0.383, 0.729]	(-1.358, -0.897]	(1.578, 5.7]
1	0.61	-1.762	-0.635	0.832	(0.463, 0.617]	(-2.36, -1.216]	(-0.897, -0.498]	(0.727, 0.884]
0	0.951	1.868	-0.565	1.429	(0.881, 1.045]	(1.236, 2.43]	(-0.897, -0.498]	(1.27, 1.578]
0	1.031	0.73	0.885	1.183	(0.881, 1.045]	(0.729, 1.236]	(0.796, 1.272]	(1.084, 1.27]
1	0.801	-0.32	-0.45	0.124	(0.745, 0.881]	(-0.39, -0.0025]	(-0.498, -0.0495]	(0.018, 0.376]
1	0.748	1.009	-0.466	1.164	(0.745, 0.881]	(0.729, 1.236]	(-0.498, -0.0495]	(1.084, 1.27]
1	1.193	-1.403	-0.085	0.816	(1.045, 1.267]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.727, 0.884]
1	1.839	-1.074	1.122	0.806	(1.663, 5.331]	(-1.216, -0.727]	(0.796, 1.272]	(0.727, 0.884]
1	1.063	1.222	0.546	1.183	(1.045, 1.267]	(0.729, 1.236]	(0.416, 0.796]	(1.084, 1.27]
1	1.111	-1.797	0.036	0.529	(1.045, 1.267]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.376, 0.56]
1	0.436	1.636	1.156	0.631	(0.274, 0.463]	(1.236, 2.43]	(0.796, 1.272]	(0.56, 0.727]
1	1.699	0.749	0.18	0.391	(1.663, 5.331]	(0.729, 1.236]	(-0.0495, 0.416]	(0.376, 0.56]
1	0.712	1.437	-0.315	0.527	(0.617, 0.745]	(1.236, 2.43]	(-0.498, -0.0495]	(0.376, 0.56]
1	1.067	0.978	0.296	0.821	(1.045, 1.267]	(0.729, 1.236]	(-0.0495, 0.416]	(0.727, 0.884]
1	2.015	-0.442	-0.686	0.868	(1.663, 5.331]	(-0.727, -0.39]	(-0.897, -0.498]	(0.727, 0.884]
1	0.369	-1.946	-1.683	0.662	(0.274, 0.463]	(-2.36, -1.216]	(-1.742, -1.358]	(0.56, 0.727]
1	1.133	0.679	-1.641	1.875	(1.045, 1.267]	(0.383, 0.729]	(-1.742, -1.358]	(1.578, 5.7]
1	1.279	-0.508	-1.397	0.827	(1.267, 1.663]	(-0.727, -0.39]	(-1.742, -1.358]	(0.727, 0.884]
0	0.593	1.52	0.195	0.986	(0.463, 0.617]	(1.236, 2.43]	(-0.0495, 0.416]	(0.884, 1.084]
1	0.806	0.343	0.691	1.028	(0.745, 0.881]	(-0.0025, 0.383]	(0.416, 0.796]	(0.884, 1.084]
1	0.645	-1.552	0.848	0.814	(0.617, 0.745]	(-2.36, -1.216]	(0.796, 1.272]	(0.727, 0.884]
1	0.862	-0.46	0.781	1.114	(0.745, 0.881]	(-0.727, -0.39]	(0.416, 0.796]	(1.084, 1.27]
1	0.799	-0.496	1.631	0.505	(0.745, 0.881]	(-0.727, -0.39]	(1.272, 1.743]	(0.376, 0.56]
1	1.883	0.739	-1.42	1.654	(1.663, 5.331]	(0.729, 1.236]	(-1.742, -1.358]	(1.578, 5.7]
0	1.042	-1.796	-1.74	0.744	(0.881, 1.045]	(-2.36, -1.216]	(-1.742, -1.358]	(0.727, 0.884]
1	1.763	1.357	-1.215	0.237	(1.663, 5.331]	(1.236, 2.43]	(-1.358, -0.897]	(0.018, 0.376]
0	1.048	0.167	1.301	0.879	(1.045, 1.267]	(-0.0025, 0.383]	(1.272, 1.743]	(0.727, 0.884]
0	0.772	-1.315	0.988	0.614	(0.745, 0.881]	(-2.36, -1.216]	(0.796, 1.272]	(0.56, 0.727]
1	0.83	1.685	-0.317	1.009	(0.745, 0.881]	(1.236, 2.43]	(-0.498, -0.0495]	(0.884, 1.084]
0	0.438	-0.581	-1.598	1.106	(0.274, 0.463]	(-0.727, -0.39]	(-1.742, -1.358]	(1.084, 1.27]
1	1.208	-1.938	0.301	0.617	(1.045, 1.267]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.56, 0.727]
0	1.009	0.489	-0.344	0.186	(0.881, 1.045]	(0.383, 0.729]	(-0.498, -0.0495]	(0.018, 0.376]
0	0.332	-0.778	-0.149	1.561	(0.274, 0.463]	(-1.216, -0.727]	(-0.498, -0.0495]	(1.27, 1.578]
1	0.363	1.356	1.085	1.256	(0.274, 0.463]	(1.236, 2.43]	(0.796, 1.272]	(1.084, 1.27]
0	1.176	0.484	-1.026	1.331	(1.045, 1.267]	(0.383, 0.729]	(-1.358, -0.897]	(1.27, 1.578]
1	1.259	-1.345	1.469	0.534	(1.045, 1.267]	(-2.36, -1.216]	(1.272, 1.743]	(0.376, 0.56]
0	1.235	0.497	-0.416	0.199	(1.045, 1.267]	(0.383, 0.729]	(-0.498, -0.0495]	(0.018, 0.376]
1	0.91	1.75	-0.856	1.089	(0.881, 1.045]	(1.236, 2.43]	(-0.897, -0.498]	(1.084, 1.27]
0	2.233	0.447	1.075	1.085	(1.663, 5.331]	(0.383, 0.729]	(0.796, 1.272]	(1.084, 1.27]
1	0.355	-2.258	-0.727	0.916	(0.274, 0.463]	(-2.36, -1.216]	(-0.897, -0.498]	(0.884, 1.084]
0	0.312	1.518	-0.017	1.033	(0.274, 0.463]	(1.236, 2.43]	(-0.0495, 0.416]	(0.884, 1.084]
0	1.134	0.54	0.211	0.764	(1.045, 1.267]	(0.383, 0.729]	(-0.0495, 0.416]	(0.727, 0.884]
1	1.043	-0.499	1.052	0.746	(0.881, 1.045]	(-0.727, -0.39]	(0.796, 1.272]	(0.727, 0.884]
1	0.409	1.029	-0.046	1.288	(0.274, 0.463]	(0.729, 1.236]	(-0.0495, 0.416]	(1.27, 1.578]
0	1.599	-0.018	0.014	0.778	(1.267, 1.663]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.727, 0.884]
0	1.974	-0.448	-0.526	1.002	(1.663, 5.331]	(-0.727, -0.39]	(-0.897, -0.498]	(0.884, 1.084]
0	1.43	0.12	0.45	1.019	(1.267, 1.663]	(-0.0025, 0.383]	(0.416, 0.796]	(0.884, 1.084]
0	1.815	0.926	-0.662	0.132	(1.663, 5.331]	(0.729, 1.236]	(-0.897, -0.498]	(0.018, 0.376]
0	0.841	0.636	1.168	1.073	(0.745, 0.881]	(0.383, 0.729]	(0.796, 1.272]	(0.884, 1.084]
1	1.313	-0.893	-1.258	0.92	(1.267, 1.663]	(-1.216, -0.727]	(-1.358, -0.897]	(0.884, 1.084]
1	0.986	-0.412	-1.647	0.678	(0.881, 1.045]	(-0.727, -0.39]	(-1.742, -1.358]	(0.56, 0.727]
1	0.382	-1.484	-0.178	0.268	(0.274, 0.463]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.018, 0.376]
0	1.48	-1.407	-1.71	0.685	(1.267, 1.663]	(-2.36, -1.216]	(-1.742, -1.358]	(0.56, 0.727]
1	1.057	-0.75	-1.238	1.709	(1.045, 1.267]	(-1.216, -0.727]	(-1.358, -0.897]	(1.578, 5.7]
1	0.673	-0.03	-0.051	1.008	(0.617, 0.745]	(-0.39, -0.0025]	(-0.498, -0.0495]	(0.884, 1.084]
0	0.509	2.377	-1.043	0.824	(0.463, 0.617]	(1.236, 2.43]	(-1.358, -0.897]	(0.727, 0.884]
0	0.674	0.092	0.431	0.362	(0.617, 0.745]	(-0.0025, 0.383]	(0.416, 0.796]	(0.018, 0.376]
1	0.557	-0.41	-0.034	0.825	(0.463, 0.617]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.301	2.128	1.126	1.421	(0.274, 0.463]	(1.236, 2.43]	(0.796, 1.272]	(1.27, 1.578]
0	1.192	-0.449	-1.693	1.264	(1.045, 1.267]	(-0.727, -0.39]	(-1.742, -1.358]	(1.084, 1.27]
0	0.75	1.8	-1.7	1.218	(0.745, 0.881]	(1.236, 2.43]	(-1.742, -1.358]	(1.084, 1.27]
1	0.705	-0.898	1.526	0.626	(0.617, 0.745]	(-1.216, -0.727]	(1.272, 1.743]	(0.56, 0.727]
1	0.661	-2.283	-0.198	1.152	(0.617, 0.745]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.084, 1.27]
0	2.199	1.614	-0.241	1.571	(1.663, 5.331]	(1.236, 2.43]	(-0.498, -0.0495]	(1.27, 1.578]
1	1.191	0.989	0.518	1.176	(1.045, 1.267]	(0.729, 1.236]	(0.416, 0.796]	(1.084, 1.27]
1	1.05	-1.317	-0.205	0.725	(1.045, 1.267]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.56, 0.727]
0	0.58	-1.17	0.179	3.078	(0.463, 0.617]	(-1.216, -0.727]	(-0.0495, 0.416]	(1.578, 5.7]
1	1.011	-1.861	-0.189	1.571	(0.881, 1.045]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.27, 1.578]
0	0.72	0.723	-0.954	0.482	(0.617, 0.745]	(0.383, 0.729]	(-1.358, -0.897]	(0.376, 0.56]
1	0.561	-0.42	1.258	0.147	(0.463, 0.617]	(-0.727, -0.39]	(0.796, 1.272]	(0.018, 0.376]
1	1.002	0.494	0.151	1.539	(0.881, 1.045]	(0.383, 0.729]	(-0.0495, 0.416]	(1.27, 1.578]
1	0.883	0.562	1.699	1.298	(0.881, 1.045]	(0.383, 0.729]	(1.272, 1.743]	(1.27, 1.578]
0	0.903	1.26	-1.738	0.151	(0.881, 1.045]	(1.236, 2.43]	(-1.742, -1.358]	(0.018, 0.376]
1	2.631	1.183	0.485	0.401	(1.663, 5.331]	(0.729, 1.236]	(0.416, 0.796]	(0.376, 0.56]
0	0.402	-1.692	0.078	0.632	(0.274, 0.463]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.56, 0.727]
1	0.828	-0.961	-0.164	1.83	(0.745, 0.881]	(-1.216, -0.727]	(-0.498, -0.0495]	(1.578, 5.7]
0	1.285	-1.618	-0.05	0.488	(1.267, 1.663]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.376, 0.56]
1	0.982	1.026	0.656	1.963	(0.881, 1.045]	(0.729, 1.236]	(0.416, 0.796]	(1.578, 5.7]
1	1.091	1.28	1.624	1.175	(1.045, 1.267]	(1.236, 2.43]	(1.272, 1.743]	(1.084, 1.27]
1	0.966	0.273	0.402	1.043	(0.881, 1.045]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.884, 1.084]
0	0.448	1.679	1.504	1.756	(0.274, 0.463]	(1.236, 2.43]	(1.272, 1.743]	(1.578, 5.7]
0	0.879	-0.948	0.25	0.758	(0.745, 0.881]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.727, 0.884]
0	1.412	-0.519	0.589	0.874	(1.267, 1.663]	(-0.727, -0.39]	(0.416, 0.796]	(0.727, 0.884]
1	1.307	0.127	0.223	0.472	(1.267, 1.663]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.376, 0.56]
1	0.994	0.562	1.612	0.748	(0.881, 1.045]	(0.383, 0.729]	(1.272, 1.743]	(0.727, 0.884]
0	0.398	0.529	-0.313	5.039	(0.274, 0.463]	(0.383, 0.729]	(-0.498, -0.0495]	(1.578, 5.7]
1	1.436	0.204	0.466	1.121	(1.267, 1.663]	(-0.0025, 0.383]	(0.416, 0.796]	(1.084, 1.27]
0	0.423	-0.607	-0.638	0.273	(0.274, 0.463]	(-0.727, -0.39]	(-0.897, -0.498]	(0.018, 0.376]
1	1.279	1.695	0.754	0.976	(1.267, 1.663]	(1.236, 2.43]	(0.416, 0.796]	(0.884, 1.084]
0	1.5	-1.729	-0.283	0.019	(1.267, 1.663]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.018, 0.376]
0	1.405	-0.187	1.623	1.148	(1.267, 1.663]	(-0.39, -0.0025]	(1.272, 1.743]	(1.084, 1.27]
0	0.96	-0.237	1.295	0.514	(0.881, 1.045]	(-0.39, -0.0025]	(1.272, 1.743]	(0.376, 0.56]
1	0.524	0.87	1.305	1.065	(0.463, 0.617]	(0.729, 1.236]	(1.272, 1.743]	(0.884, 1.084]
1	1.047	-0.444	-0.637	0.346	(1.045, 1.267]	(-0.727, -0.39]	(-0.897, -0.498]	(0.018, 0.376]
1	0.649	-1.028	0.278	0.624	(0.617, 0.745]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.56, 0.727]
0	1.609	-0.811	-1.614	0.527	(1.267, 1.663]	(-1.216, -0.727]	(-1.742, -1.358]	(0.376, 0.56]
0	0.633	-0.569	-1.082	0.861	(0.617, 0.745]	(-0.727, -0.39]	(-1.358, -0.897]	(0.727, 0.884]
1	2.545	1.411	-1.622	0.611	(1.663, 5.331]	(1.236, 2.43]	(-1.742, -1.358]	(0.56, 0.727]
1	2.268	1.403	-0.518	0.437	(1.663, 5.331]	(1.236, 2.43]	(-0.897, -0.498]	(0.376, 0.56]
1	0.522	-1.186	0.97	1.017	(0.463, 0.617]	(-1.216, -0.727]	(0.796, 1.272]	(0.884, 1.084]
0	0.844	0.26	-0.758	0.919	(0.745, 0.881]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.884, 1.084]
0	1.722	-0.697	1.243	0.834	(1.663, 5.331]	(-0.727, -0.39]	(0.796, 1.272]	(0.727, 0.884]
0	0.772	0.305	0.99	1.195	(0.745, 0.881]	(-0.0025, 0.383]	(0.796, 1.272]	(1.084, 1.27]
0	0.688	0.216	1.378	0.392	(0.617, 0.745]	(-0.0025, 0.383]	(1.272, 1.743]	(0.376, 0.56]
1	1.047	-0.745	-0.368	1.504	(1.045, 1.267]	(-1.216, -0.727]	(-0.498, -0.0495]	(1.27, 1.578]
0	0.849	0.632	0.655	0.427	(0.745, 0.881]	(0.383, 0.729]	(0.416, 0.796]	(0.376, 0.56]
0	0.629	0.004	1.257	1.422	(0.617, 0.745]	(-0.0025, 0.383]	(0.796, 1.272]	(1.27, 1.578]
1	0.473	-1.476	-1.269	1.489	(0.463, 0.617]	(-2.36, -1.216]	(-1.358, -0.897]	(1.27, 1.578]
1	1.677	0.129	0.4	0.886	(1.663, 5.331]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.884, 1.084]
1	0.403	-1.524	-0.423	0.179	(0.274, 0.463]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.018, 0.376]
0	0.766	1.705	1.333	1.245	(0.745, 0.881]	(1.236, 2.43]	(1.272, 1.743]	(1.084, 1.27]
0	1.471	-0.052	0.01	0.417	(1.267, 1.663]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.376, 0.56]
0	0.924	0.804	0.949	2.844	(0.881, 1.045]	(0.729, 1.236]	(0.796, 1.272]	(1.578, 5.7]
0	2.039	-0.5	1.51	2.119	(1.663, 5.331]	(-0.727, -0.39]	(1.272, 1.743]	(1.578, 5.7]
0	0.559	-1.689	-0.223	1.257	(0.463, 0.617]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.084, 1.27]
1	1.779	-0.989	-0.983	0.41	(1.663, 5.331]	(-1.216, -0.727]	(-1.358, -0.897]	(0.376, 0.56]
1	0.531	1.348	1.628	1.125	(0.463, 0.617]	(1.236, 2.43]	(1.272, 1.743]	(1.084, 1.27]
1	2.287	-0.327	1.01	0.56	(1.663, 5.331]	(-0.39, -0.0025]	(0.796, 1.272]	(0.376, 0.56]
0	0.757	-1.171	1.622	1.045	(0.745, 0.881]	(-1.216, -0.727]	(1.272, 1.743]	(0.884, 1.084]
0	1.84	0.13	0.4	0.929	(1.663, 5.331]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.884, 1.084]
1	0.529	-0.26	-0.615	0.935	(0.463, 0.617]	(-0.39, -0.0025]	(-0.897, -0.498]	(0.884, 1.084]
1	0.67	-1.182	-1.325	0.915	(0.617, 0.745]	(-1.216, -0.727]	(-1.358, -0.897]	(0.884, 1.084]
0	0.413	0.291	0.041	1.193	(0.274, 0.463]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.084, 1.27]
1	0.801	1.721	0.108	0.865	(0.745, 0.881]	(1.236, 2.43]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.725	-1.768	0.455	0.344	(0.617, 0.745]	(-2.36, -1.216]	(0.416, 0.796]	(0.018, 0.376]
1	0.554	0.461	-0.626	1.569	(0.463, 0.617]	(0.383, 0.729]	(-0.897, -0.498]	(1.27, 1.578]
0	1.347	0.691	-0.587	0.128	(1.267, 1.663]	(0.383, 0.729]	(-0.897, -0.498]	(0.018, 0.376]
1	0.619	-0.955	1.499	2.304	(0.617, 0.745]	(-1.216, -0.727]	(1.272, 1.743]	(1.578, 5.7]
0	3.324	-0.673	-0.99	0.444	(1.663, 5.331]	(-0.727, -0.39]	(-1.358, -0.897]	(0.376, 0.56]
1	0.506	-0.169	0.456	1.688	(0.463, 0.617]	(-0.39, -0.0025]	(0.416, 0.796]	(1.578, 5.7]
0	1.529	0.612	1.162	0.925	(1.267, 1.663]	(0.383, 0.729]	(0.796, 1.272]	(0.884, 1.084]
1	0.609	0.022	-0.221	1.247	(0.463, 0.617]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.084, 1.27]
0	0.754	-0.922	-0.779	1.369	(0.745, 0.881]	(-1.216, -0.727]	(-0.897, -0.498]	(1.27, 1.578]
1	0.801	-1.643	-1.022	0.428	(0.745, 0.881]	(-2.36, -1.216]	(-1.358, -0.897]	(0.376, 0.56]
1	0.558	1.595	-0.901	1.174	(0.463, 0.617]	(1.236, 2.43]	(-1.358, -0.897]	(1.084, 1.27]
1	1.571	0.86	-1.02	1.754	(1.267, 1.663]	(0.729, 1.236]	(-1.358, -0.897]	(1.578, 5.7]
1	0.401	2.244	-1.036	0.387	(0.274, 0.463]	(1.236, 2.43]	(-1.358, -0.897]	(0.376, 0.56]
0	2.15	-0.12	-0.014	0.601	(1.663, 5.331]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.56, 0.727]
0	0.921	0.714	0.347	1.167	(0.881, 1.045]	(0.383, 0.729]	(-0.0495, 0.416]	(1.084, 1.27]
0	0.816	-0.033	1.174	0.643	(0.745, 0.881]	(-0.39, -0.0025]	(0.796, 1.272]	(0.56, 0.727]
0	1.738	-0.994	-1.384	2.604	(1.663, 5.331]	(-1.216, -0.727]	(-1.742, -1.358]	(1.578, 5.7]
0	0.72	2.012	-1.469	0.695	(0.617, 0.745]	(1.236, 2.43]	(-1.742, -1.358]	(0.56, 0.727]
1	0.861	-0.006	-1.528	2.018	(0.745, 0.881]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.578, 5.7]
0	0.882	0.672	-0.704	0.539	(0.881, 1.045]	(0.383, 0.729]	(-0.897, -0.498]	(0.376, 0.56]
1	1.666	-0.272	-1.441	0.83	(1.663, 5.331]	(-0.39, -0.0025]	(-1.742, -1.358]	(0.727, 0.884]
0	0.63	-1.064	-0.57	0.612	(0.617, 0.745]	(-1.216, -0.727]	(-0.897, -0.498]	(0.56, 0.727]
0	0.517	-0.17	0.38	0.472	(0.463, 0.617]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.376, 0.56]
0	0.385	0.705	1.303	1.534	(0.274, 0.463]	(0.383, 0.729]	(1.272, 1.743]	(1.27, 1.578]
1	0.794	0.715	1.444	0.5	(0.745, 0.881]	(0.383, 0.729]	(1.272, 1.743]	(0.376, 0.56]
1	2.172	0.379	0.295	0.618	(1.663, 5.331]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.56, 0.727]
1	1.744	-1.48	0.661	0.889	(1.663, 5.331]	(-2.36, -1.216]	(0.416, 0.796]	(0.884, 1.084]
1	0.748	1.087	-1.668	0.021	(0.745, 0.881]	(0.729, 1.236]	(-1.742, -1.358]	(0.018, 0.376]
1	1.617	0.979	-1.741	1.253	(1.267, 1.663]	(0.729, 1.236]	(-1.742, -1.358]	(1.084, 1.27]
0	1.477	-0.002	0.347	0.88	(1.267, 1.663]	(-0.0025, 0.383]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.982	-2.058	-0.774	0.973	(0.881, 1.045]	(-2.36, -1.216]	(-0.897, -0.498]	(0.884, 1.084]
1	1.477	0.231	1.666	0.759	(1.267, 1.663]	(-0.0025, 0.383]	(1.272, 1.743]	(0.727, 0.884]
1	0.69	-0.281	-1.113	0.448	(0.617, 0.745]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.376, 0.56]
1	1.136	0.062	-0.641	0.16	(1.045, 1.267]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.018, 0.376]
1	0.691	0.721	-1.738	0.83	(0.617, 0.745]	(0.383, 0.729]	(-1.742, -1.358]	(0.727, 0.884]
0	0.849	-1.216	1.586	2.412	(0.745, 0.881]	(-2.36, -1.216]	(1.272, 1.743]	(1.578, 5.7]
0	1.22	-0.315	0.096	2.332	(1.045, 1.267]	(-0.39, -0.0025]	(-0.0495, 0.416]	(1.578, 5.7]
1	1.451	-0.627	1.115	1.625	(1.267, 1.663]	(-0.727, -0.39]	(0.796, 1.272]	(1.578, 5.7]
0	0.664	1.185	-0.422	1.481	(0.617, 0.745]	(0.729, 1.236]	(-0.498, -0.0495]	(1.27, 1.578]
0	1.043	0.372	-0.267	0.31	(0.881, 1.045]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.018, 0.376]
1	0.391	1.039	1.704	0.533	(0.274, 0.463]	(0.729, 1.236]	(1.272, 1.743]	(0.376, 0.56]
1	0.927	-1.161	1.473	1.308	(0.881, 1.045]	(-1.216, -0.727]	(1.272, 1.743]	(1.27, 1.578]
0	2.127	-0.129	0.684	2.429	(1.663, 5.331]	(-0.39, -0.0025]	(0.416, 0.796]	(1.578, 5.7]
0	1.605	0.629	-1.432	0.182	(1.267, 1.663]	(0.383, 0.729]	(-1.742, -1.358]	(0.018, 0.376]
0	0.469	-0.238	-1.226	1.624	(0.463, 0.617]	(-0.39, -0.0025]	(-1.358, -0.897]	(1.578, 5.7]
1	0.656	0.643	1.658	0.385	(0.617, 0.745]	(0.383, 0.729]	(1.272, 1.743]	(0.376, 0.56]
0	0.383	1.191	1.183	1.646	(0.274, 0.463]	(0.729, 1.236]	(0.796, 1.272]	(1.578, 5.7]
1	2.841	0.463	-1.484	0.259	(1.663, 5.331]	(0.383, 0.729]	(-1.742, -1.358]	(0.018, 0.376]
0	1.423	-0.578	1.443	0.463	(1.267, 1.663]	(-0.727, -0.39]	(1.272, 1.743]	(0.376, 0.56]
